"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
3570,50,"meta",50325,"mapiripan",50325000,"mapiripan (mapiripan - meta)",2020,9,137773,58984,28864,"lunes","2020-09-21T18:45",23.41
3571,52,"nariño",52250,"el charco",52250023,"bazan (el charco - nariño)",2020,9,17407,8826,1056,"viernes","2020-09-18T21:15",6.41
3572,52,"nariño",52250,"el charco",52250003,"bolivar - san pedro (el charco - nariño)",2020,9,5008,5479,249,"viernes","2020-09-18T20:00",8.2
3573,52,"nariño",52250,"el charco",52250022,"el cuil pueblo nuevo (el charco - nariño)",2020,9,4850,1860,3427,"domingo","2020-09-20T19:15",5.32
3574,52,"nariño",52250,"el charco",52250007,"san jose del tapaje (el charco - nariño)",2020,9,14272,1656,80,"lunes","2020-09-28T19:15",7.53
3575,52,"nariño",52390,"la tola",52390013,"amarales (la tola - nariño)",2020,9,10877,2868,64,"miercoles","2020-09-16T19:15",7.2
3576,52,"nariño",52390,"la tola",52390003,"la vigia de la mar (la tola - nariño)",2020,9,5414,2781,2968,"lunes","2020-09-28T18:30",7.35
3577,52,"nariño",52390,"la tola",52390009,"mulatos (la tola - nariño)",2020,9,3847,1876,3667,"jueves","2020-09-17T18:15",5.46
3578,52,"nariño",52390,"la tola",52390016,"san pablo del mar (la tola - nariño)",2020,9,4832,1116,2982,"domingo","2020-09-27T19:30",6.54
3579,52,"nariño",52490,"olaya herrera",52490913,"boca de prieta (olaya herrera - nariño)",2020,9,3110,766,2215,"jueves","2020-09-03T19:00",7.02
3580,52,"nariño",52490,"olaya herrera",52490008,"san jose calabazal (olaya herrera - nariño)",2020,9,4564,1851,4538,"viernes","2020-09-25T18:30",3.55
3581,52,"nariño",52835,"san andres de tumaco",52835055,"bocas de curay (tumaco - nariño)",2020,9,9108,4629,552,"domingo","2020-09-27T23:45",7.09
3582,52,"nariño",52835,"san andres de tumaco",52835012,"chajal (tumaco - nariño)",2020,9,31022,10965,13244,"martes","2020-09-01T18:30",9.15
3583,52,"nariño",52835,"san andres de tumaco",52835016,"pital de la costa (tumaco - nariño)",2020,9,18101,10808,80,"lunes","2020-09-21T20:15",10
3584,52,"nariño",52835,"san andres de tumaco",52835212,"pueblo nuevo (tablon salado) (tumaco - nariño)",2020,9,3079,1353,1635,"domingo","2020-09-20T23:30",8.36
3585,52,"nariño",52835,"san andres de tumaco",52835217,"san juan de la costa (san andres de tumaco - nariño)",2020,9,29057,11726,1472,"miercoles","2020-09-09T18:45",9.32
3586,52,"nariño",52835,"san andres de tumaco",52835091,"santa rosa (tumaco - nariño)",2020,9,1742,524,3181,"sabado","2020-09-05T19:15",2.18
3587,52,"nariño",52835,"san andres de tumaco",52835148,"tablon dulce la pampa (tumaco - nariño)",2020,9,4507,1450,2643,"martes","2020-09-08T18:30",7.05
