ID,ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
4621,97,vaupes,97161,caruru,97161000,caruru,2025,1,34438,5807,9002,miercoles,2025-01-22T16:00,16.98
2695,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2021,8,164425,62119,35660,martes,2021-08-24T14:45,23.51
4333,52,nariño,52390,la tola,52390003,la vigia de la mar (la tola - nariño),2024,10,4738,2344,2956,viernes,2024-10-18T19:45,7.68
231,99,vichada,99001,puerto carreño,99001000,puerto carreño (puerto carreño - vichada),2024,5,164425,62119,5060,viernes,2024-05-03T14:15,23.47
1724,52,nariño,52390,la tola,52390013,amarales (la tola - nariño),2022,8,5810,2533,4074,sabado,2022-08-20T17:15,6.59
1045,52,nariño,52696,santa barbara (iscuande),52696014,la ensenada (santa barbara (iscuande) - nariño),2023,5,3299,5844,2406,miercoles,2023-05-03T20:15,5.48
2380,99,vichada,99001,puerto carreño,99001002,casuarito (puerto carreño - vichada),2021,12,38120,14660,10754,viernes,2021-12-10T19:15,14.16
2255,27,choco,27099,bojaya (bellavista),27099002,la loma de bojaya (bojaya (bellavista) - choco),2022,1,13026,6487,608,lunes,2022-01-31T19:15,9.3
1371,52,nariño,52490,olaya herrera,52490913,boca de prieta (olaya herrera - nariño),2023,1,2697,750,1634,jueves,2023-01-26T19:15,6.15
3536,19,cauca,19318,guapi,19318008,limones (guapi - cauca),2020,9,8620,2316,6668,sabado,2020-09-19T21:00,5.09
1731,52,nariño,52390,la tola,52390003,la vigia de la mar (la tola - nariño),2022,8,5966,2380,3392,lunes,2022-08-01T19:15,8.09
297,52,nariño,52250,el charco,52250016,alteron - uribe uribe (el charco - nariño),2024,1,114,61,6,domingo,2024-01-23T19:00,0.42
3277,99,vichada,99773,cumaribo,99773000,cumaribo (cumaribo - vichada),2021,1,164425,62119,6094,miercoles,2021-01-13T18:00,20.24
4637,95,guaviare,95001,san jose del guaviare,95001012,cachicamo,2025,2,10295,4350,3861,domingo,2025-02-16T19:30,13.41
1176,27,choco,27615,riosucio,27615930,peñas blancas (riosucio - choco),2023,3,19,7,179,viernes,2023-03-31T20:15,0.0
4496,76,valle del cauca,76109,buenaventura,76109032,san francisco naya (buenaventura - valle del cauca),2024,12,8964,3640,3242,lunes,2024-12-02T12:00,11.83
323,13,bolivar,13001,cartagena de indias,13001037,isla mucura (cartagena de indias - bolivar),2024,2,5309,2189,2237,lunes,2024-02-19T21:30,10.51
3980,85,casanare,85430,trinidad,85430001,bocas del pauto (trinidad - casanare),2020,3,13266,7187,10016,martes,2020-03-03T18:30,5.25
2961,13,bolivar,13001,cartagena de indias,13001037,isla mucura (cartagena de indias - bolivar),2021,4,6886,2794,2032,viernes,2021-04-02T23:45,15.03
1198,52,nariño,52696,santa barbara (iscuande),52696022,secadero (santa barbara (iscuande) - nariño),2023,3,3097,1460,1498,jueves,2023-03-23T19:15,9.09
1021,27,choco,27077,bajo baudo (pizarro),27077916,terron (bajo baudo - choco),2023,5,5110,2362,2983,sabado,2023-05-13T12:45,8.2
1048,86,putumayo,86573,puerto leguizamo,86573000,puerto leguizamo (puerto leguizamo - putumayo),2023,5,164425,62119,35660,martes,2023-05-02T18:45,23.17
1794,94,guainia,94001,inirida,94001000,inirida (inirida - guainia),2022,7,164425,62119,34408,lunes,2022-07-11T15:15,23.87
3701,19,cauca,19809,timbiqui,19809023,puerto saija (timbiqui - cauca),2020,7,17267,6008,15946,viernes,2020-07-31T18:45,4.05
4429,99,vichada,99001,puerto carreño,99001000,puerto carreño (puerto carreño - vichada),2024,11,164425,62119,35660,jueves,2024-11-07T13:15,23.98
3713,27,choco,27099,bojaya (bellavista),27099005,napipi (bojaya (bellavista) - choco),2020,7,8735,2327,608,viernes,2020-07-31T19:30,5.3
587,97,vaupes,97666,taraira,97666000,taraira (taraira - vaupes),2023,12,34421,10138,12302,viernes,2023-12-01T13:15,11.2
